ID,Name,Sex,Email,Birthdate,Hire Date,Department,Phone,SSN
677509,Lois Walker,F,lois.walker@hotmail.com,3/29/1981,11/24/2003,Sales,467-99-4677,303-572-8492
940761,Brenda Robinson,F,brenda.robinson@gmail.com,7/31/1970,7/27/2008,Sales,537-71-4566,225-945-4954
428945,Joe Robinson,M,joe.robinson@gmail.com,6/16/1963,8/3/2016,IT,025-92-3584,219-904-2161
408351,Diane Evans,F,diane.evans@yahoo.com,12/4/1977,4/16/1999,Sales,314-35-9851,215-793-6791
193819,Benjamin Russell,M,benjamin.russell@charter.net,4/17/1977,7/25/2013,HR,121-98-7248,262-404-2252
499687,Patrick Bailey,M,patrick.bailey@aol.com,9/27/1982,7/22/2005,Marketing,439-99-7721,319-812-6957
539712,Nancy Baker,F,nancy.baker@bp.com,6/13/1995,9/14/2016,Sales,641-29-2071,229-336-5117
380086,Carol Murphy,F,carol.murphy@gmail.com,6/30/1958,1/28/1983,HR,423-67-7023,216-336-0009
477616,Frances Young,F,frances.young@gmail.com,6/9/1959,4/27/1994,HR,028-92-8912,210-819-9765
162402,Diana Peterson,F,diana.peterson@hotmail.co.uk,11/13/1987,2/17/2014,Marketing,512-33-6767,479-783-5656
231469,Ralph Flores,M,ralph.flores@yahoo.com,2/5/1975,4/14/2009,HR,302-15-0130,316-280-2864
153989,Jack Alexander,M,jack.alexander@gmail.com,5/19/1995,1/5/2017,IT,428-99-9413,702-603-3769
386158,Melissa King,F,melissa.king@comcast.net,2/24/1972,11/24/2015,Sales,277-17-9106,216-605-3731
301576,Wayne Watson,M,wayne.watson@gmail.com,6/26/1996,7/19/2017,Sales,011-94-6649,701-231-9370
441771,Cheryl Scott,F,cheryl.scott@gmail.com,2/23/1958,11/26/1990,Legal,596-94-2279,215-288-9345
528509,Paula Diaz,F,paula.diaz@gmail.com,8/22/1966,8/22/1994,HR,234-57-7671,252-531-7641
912990,Joshua Stewart,M,joshua.stewart@yahoo.ca,5/18/1970,9/2/2002,HR,755-07-3676,217-279-9342
214352,Theresa Lee,F,theresa.lee@gmail.com,12/5/1992,1/19/2015,IT,055-02-9969,319-553-8919
890290,Julia Scott,F,julia.scott@apple.com,7/15/1959,2/23/2005,HR,251-99-1941,423-939-1010
622406,Thomas Lewis,M,thomas.lewis@gmail.com,10/4/1967,6/7/1998,Marketing,467-99-2604,314-679-3697
979607,Carol Edwards,F,carol.edwards@msn.com,12/14/1994,4/25/2016,IT,316-35-9870,225-283-4295
969580,Matthew Turner,M,matthew.turner@gmail.com,10/26/1993,2/7/2016,HR,598-92-1988,236-972-7624
